setting,policy,n,target,estimator,mse,mse_se,bias,rmse,n_used,n_total,coverage,coverage_se,mean_width
probit_ind_poor,entropy_sigma,20,mu,mle,7.844471698963465,0.4338576746106389,-0.673060867039703,2.8007984038419234,250,250,,,
probit_ind_poor,entropy_sigma,20,sigma,mle,7.5933572229076045,0.244851470955297,-1.9648071302485948,2.755604692786613,250,250,,,
probit_ind_poor,entropy_sigma,20,q0.5,mle,7.844471698963465,0.4338576746106389,-0.673060867039703,2.8007984038419234,250,250,,,
probit_ind_poor,entropy_sigma,20,q0.95,mle,40.05540321108939,2.165058667707673,-3.9048810014892212,6.328933813138623,250,250,,,
probit_ind_poor,entropy_sigma,20,q0.99,mle,65.43945988719032,3.256310845133732,-5.24388575739381,8.08946598281928,250,250,,,
probit_ind_poor,entropy_sigma,20,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_sigma,20,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_sigma,20,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_sigma,20,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_sigma,30,mu,bayes,42.01107589474018,1.8895223231034068,-5.076488416834003,6.481595165909406,250,250,0.992,0.005634181395730885,14.508711213282691
probit_ind_poor,entropy_sigma,30,sigma,bayes,1.76104471995078,0.06309353339575426,-0.7355080825336601,1.3270436013751696,250,250,0.992,0.005634181395730885,5.193449774239124
probit_ind_poor,entropy_sigma,30,q0.5,bayes,42.01107589474018,1.8895223231034068,-5.076488416834003,6.481595165909406,250,250,0.992,0.005634181395730885,14.508711213282691
probit_ind_poor,entropy_sigma,30,q0.95,bayes,62.17914978784346,2.7733814153090206,-5.808366469219062,7.885375690976522,250,250,0.492,0.031618728627191825,16.432784838442203
probit_ind_poor,entropy_sigma,30,q0.99,bayes,74.05242434051328,3.242461031588405,-6.219636372799843,8.605371830462254,250,250,0.836,0.023418283455454204,18.56351738008671
probit_ind_poor,entropy_sigma,30,mu,mle,6.104995844955811,0.31508440786934666,-0.3573742747058227,2.470828979301443,250,250,,,
probit_ind_poor,entropy_sigma,30,sigma,mle,6.011276137851124,0.2263747409549027,-1.7221068406651265,2.4517903943549344,250,250,,,
probit_ind_poor,entropy_sigma,30,q0.5,mle,6.104995844955811,0.31508440786934666,-0.3573742747058227,2.470828979301443,250,250,,,
probit_ind_poor,entropy_sigma,30,q0.95,mle,28.323121423603133,1.6472008806229599,-3.1899879575718004,5.321947145885905,250,250,,,
probit_ind_poor,entropy_sigma,30,q0.99,mle,47.05874811268191,2.5175639824976748,-4.363593862358331,6.859937908806603,250,250,,,
probit_ind_poor,entropy_sigma,30,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_sigma,30,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_sigma,30,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_sigma,30,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,20,mu,bayes,1.966527148309579,0.1758846461861141,-0.16185335117157618,1.402329186856488,250,250,0.936,0.01547953487673321,7.029492181303745
probit_ind_poor,entropy_q0.95,20,sigma,bayes,1.2920310556014647,0.10676798624367183,-0.07878150332242788,1.1366754398690353,250,250,0.976,0.009679669415842676,7.122433789597395
probit_ind_poor,entropy_q0.95,20,q0.5,bayes,1.966527148309579,0.1758846461861141,-0.16185335117157618,1.402329186856488,250,250,0.936,0.01547953487673321,7.029492181303745
probit_ind_poor,entropy_q0.95,20,q0.95,bayes,2.6328505700788254,0.22937819695530992,-0.32306776953280986,1.6226061044131521,250,250,0.956,0.012971353052014278,8.769624032207714
probit_ind_poor,entropy_q0.95,20,q0.99,bayes,4.96159552630008,0.43211581649783104,-0.38978450804339193,2.2274639225585853,250,250,0.96,0.01239354670786374,12.92785934824488
probit_ind_poor,entropy_q0.95,20,mu,mle,2.2812301472730634,0.2128238374360559,0.5276697083055076,1.510374174591536,250,250,,,
probit_ind_poor,entropy_q0.95,20,sigma,mle,1.90601223630943,0.14284364185949497,-0.6242545982209265,1.38058402001089,250,250,,,
probit_ind_poor,entropy_q0.95,20,q0.5,mle,2.2812301472730634,0.2128238374360559,0.5276697083055076,1.510374174591536,250,250,,,
probit_ind_poor,entropy_q0.95,20,q0.95,mle,3.2490725637804303,0.2874886644803248,-0.49913773171932097,1.8025183948521664,250,250,,,
probit_ind_poor,entropy_q0.95,20,q0.99,mle,6.671846018688071,0.5617021675008793,-0.9245636491259666,2.5829916799494477,250,250,,,
probit_ind_poor,entropy_q0.95,20,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,20,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,20,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,20,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,30,mu,bayes,1.7070763004976413,0.16393792274449662,-0.23191648832302014,1.306551300369657,250,250,0.932,0.01592180894245374,5.910365257090409
probit_ind_poor,entropy_q0.95,30,sigma,bayes,0.9598657510838823,0.09415631365371893,0.014510830873990414,0.9797273861048706,250,250,0.968,0.011131217363792701,5.395414236607341
probit_ind_poor,entropy_q0.95,30,q0.5,bayes,1.7070763004976413,0.16393792274449662,-0.23191648832302014,1.306551300369657,250,250,0.932,0.01592180894245374,5.910365257090409
probit_ind_poor,entropy_q0.95,30,q0.95,bayes,1.6760912313172904,0.15737878509694195,-0.22520694893430201,1.2946394213514782,250,250,0.952,0.013519763311537675,6.543235794648908
probit_ind_poor,entropy_q0.95,30,q0.99,bayes,3.1780167345980908,0.3106917408569815,-0.23088035361152287,1.782699283277494,250,250,0.956,0.012971353052014278,9.549043770190334
probit_ind_poor,entropy_q0.95,30,mu,mle,1.712301937246292,0.1495742652331734,0.29022434812666453,1.3085495547537709,250,250,,,
probit_ind_poor,entropy_q0.95,30,sigma,mle,1.149954422055212,0.09983163003511167,-0.3413507731674566,1.072359278439466,250,250,,,
probit_ind_poor,entropy_q0.95,30,q0.5,mle,1.712301937246292,0.1495742652331734,0.29022434812666453,1.3085495547537709,250,250,,,
probit_ind_poor,entropy_q0.95,30,q0.95,mle,1.890852123785796,0.18100362522345473,-0.2712477091805191,1.3750825879872801,250,250,,,
probit_ind_poor,entropy_q0.95,30,q0.99,mle,3.787958211298388,0.362125869735927,-0.5038762973336481,1.9462677645427897,250,250,,,
probit_ind_poor,entropy_q0.95,30,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,30,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,30,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_q0.95,30,q0.05,mle,,,,,0,250,,,
probit_ind_poor,bruceton,20,mu,bayes,1.1056477251345822,0.10261677208994902,-0.23162655655265463,1.0514978483737294,250,250,0.932,0.01592180894245374,4.44497693340693
probit_ind_poor,bruceton,20,sigma,bayes,1.057107070886002,0.07857932334962775,-0.28905443289023336,1.0281571236372395,250,250,0.992,0.005634181395730885,7.006730089711491
probit_ind_poor,bruceton,20,q0.5,bayes,1.1056477251345822,0.10261677208994902,-0.23162655655265463,1.0514978483737294,250,250,0.932,0.01592180894245374,4.44497693340693
probit_ind_poor,bruceton,20,q0.95,bayes,4.117127488699786,0.34034918746581855,-0.7106238376427282,2.029070597268559,250,250,0.968,0.011131217363792701,12.29197613897565
